ImageID,Outfall,Outfall_Spilling,Outfall_Aeration,Outfall_Screen,Sewage_Litter,Rubbish,Obstruction,Modified_Channel,Proportion_Modification,Discolouration,Discolouration_colour,Discolouration_Outfall,Aeration,Aeration_Extent,Sensor,Wildlife,Wildlife_Fish,Wildlife_Algal,Wildlife_Invertebrate,Wildlife_Birds,Wildlife_Other,Plants
GBR201700000000087,N,U,U,U,N,Y,Minor,N,None,Y,#c2b280,N,N,None,N,N,U,U,U,U,U,Y
GBR202300000000028,N,U,U,U,N,N,None,N,None,N,U,U,Y,Minor,N,N,U,U,U,U,U,Y
GBR201600000000015,Y,N,N,N,Y,Y,Partial,Y,Minor,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR201700000000011,Y,Y,N,N,N,N,None,Y,Full,N,U,N,Y,Minor,N,N,N,N,N,N,N,Y
UNKXXXX00000000061,N,U,U,U,N,Y,None,Y,Full,Y,#C2B280,N,N,None,N,N,N,N,N,N,N,Y
GBR202300000000425,N,U,U,U,N,N,Minor,N,None,N,U,U,Y,Partial,N,N,U,U,U,U,U,Y
UNKXXXX00000000059,Y,N,N,N,N,Y,None,Y,Full,N,U,U,N,None,N,N,N,N,N,N,N,Y
GBR201700000000081,Y,Y,Y,N,N,Y,Minor,N,None,Y,U,Y,Y,Minor,N,N,N,N,N,N,N,Y
GBR202300000000178,N,U,U,U,N,N,None,N,None,N,U,U,Y,Minor,N,N,U,U,U,U,U,Y
GBR201700000000036,Y,N,N,Y,N,N,None,Y,Full,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR201600000000029,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR202300000000064,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,U,U,U,Y,U,Y
UNKXXXX00000000004,Y,N,N,N,U,Y,None,Y,Full,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR201700000000115,Y,Y,N,Y,Y,Y,Minor,Y,Full,N,U,N,N,None,N,N,N,N,N,N,N,N
GBR201600000000028,N,U,U,U,N,Y,None,N,None,Y,#6B8E23,N,N,None,N,N,U,N,U,U,U,Y
GBR202300000000562,N,U,U,U,N,N,Partial,Y,Partial,Y,#7c9b7e,N,N,None,N,Y,U,Y,U,N,N,Y
UNKXXXX00000000032,Y,N,N,N,N,Y,Minor,Y,Partial,N,U,N,N,None,N,N,N,N,N,N,N,Y
GBR201700000000059,N,U,U,U,N,Y,None,Y,Partial,N,U,U,N,None,N,N,U,U,U,U,U,Y
UNKXXXX00000000116,N,U,U,U,N,N,None,N,None,N,U,U,Y,Partial,N,N,U,U,U,U,U,Y
UNKXXXX00000000115,N,U,U,U,N,N,None,N,None,N,U,U,Y,Full,N,U,U,U,U,U,U,Y
GBR202300000000148,N,U,U,U,N,N,Minor,N,None,Y,#D3B692,N,Y,Partial,N,N,U,U,U,U,U,Y
GBR202300000000051,N,U,U,U,N,N,None,Y,Full,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR202300000000510,Y,Y,N,N,N,N,None,N,None,Y,U,Y,Y,Minor,N,N,N,N,N,N,N,Y
GBR201700000000023,Y,Y,N,N,N,Y,Minor,Y,Partial,N,U,N,Y,Minor,N,N,N,N,N,N,N,N
GBR202300000000022,N,U,U,U,N,N,None,Y,Minor,N,U,U,Y,Minor,N,N,U,U,U,U,U,Y
GBR201700000000029,N,U,U,U,N,N,None,N,None,N,U,U,Y,Minor,Y,N,U,U,U,U,U,N
GBR201700000000082,Y,Y,Y,N,U,Y,Minor,Y,Minor,Y,U,Y,Y,Partial,N,U,U,U,U,U,U,Y
GBR201700000000009,N,U,U,U,N,N,None,Y,Full,N,U,U,N,None,N,N,U,U,U,U,U,Y
UNKXXXX00000000113,N,U,U,U,N,N,None,N,None,N,U,U,Y,Partial,N,U,U,U,U,U,U,Y
GBR201700000000109,Y,Y,Y,N,N,N,None,N,None,N,U,N,Y,Minor,N,N,N,N,N,N,N,Y
GBR201600000000030,N,U,U,U,N,Y,None,N,None,N,U,U,N,None,N,N,U,U,U,U,U,Y
UNKXXXX00000000103,N,U,U,U,N,N,None,N,None,N,U,U,Y,Partial,N,N,U,U,U,U,U,Y
GBR201700000000021,Y,N,N,N,N,N,None,Y,Full,N,U,U,N,None,N,N,U,U,U,U,U,N
GBR201600000000031,Y,Y,Y,N,N,Y,Minor,N,None,N,U,N,Y,Partial,N,N,N,N,N,N,N,Y
GBR201700000000096,N,U,U,U,N,Y,Minor,N,U,N,U,U,N,None,N,N,U,U,U,U,U,Y
UNKXXXX00000000049,Y,N,N,N,N,Y,Minor,Y,Partial,N,U,N,N,None,N,N,N,N,N,N,N,Y
GBR202300000000243,N,U,U,U,N,N,Minor,N,None,N,U,U,N,None,N,U,U,U,U,U,U,Y
GBR201700000000014,Y,Y,N,Y,Y,Y,Full,Y,Full,Y,U,Y,N,None,N,N,N,N,N,N,N,N
UNKXXXX00000000040,Y,Y,N,N,N,Y,Minor,Y,Full,N,U,U,N,None,N,N,U,U,U,U,U,N
GBR201600000000023,Y,Y,N,N,Y,Y,Minor,Y,Partial,N,U,N,Y,Minor,N,N,N,N,N,N,N,Y
GBR201700000000103,N,U,U,U,N,Y,Minor,Y,Partial,N,U,U,Y,Minor,N,U,U,U,U,U,U,Y
UNKXXXX00000000050,Y,Y,N,N,N,N,Minor,Y,Partial,Y,#7B6A58,Y,N,None,N,N,U,U,U,U,U,Y
UNKXXXX00000000110,N,U,U,U,N,N,None,N,None,N,U,U,Y,Full,N,U,U,U,U,U,U,Y
GBR201700000000030,Y,N,N,N,N,Y,Minor,Y,Partial,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR202300000000196,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,U,N,U,Y,N,Y
UNKXXXX00000000121,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,Y,N,U,U,U,U
UNKXXXX00000000124,N,U,U,U,U,U,None,U,U,N,U,U,N,None,N,Y,Y,U,U,U,U,U
GBR202300000000069,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,U,U,U,U,Y,Y
GBR201600000000043,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR201600000000034,N,U,U,U,N,Y,Partial,N,None,N,U,U,Y,Minor,N,N,U,U,U,U,U,Y
UNKXXXX00000000119,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,Y,N,N,N,N,Y
UNKXXXX00000000005,Y,N,N,N,N,N,None,Y,Full,N,U,N,N,None,N,N,N,N,N,N,N,Y
UNKXXXX00000000007,Y,Y,N,N,N,N,None,Y,Full,N,U,N,N,None,N,N,N,Y,N,N,N,Y
GBR202300000000329,Y,N,N,N,N,Y,Minor,Y,Partial,Y,U,N,N,None,N,N,N,Y,N,N,N,Y
GBR201700000000016,Y,Y,N,N,Y,Y,Minor,Y,Minor,Y,U,Y,N,None,N,N,N,N,N,N,N,Y
GBR202300000000222,N,U,U,U,N,N,None,Y,Full,N,U,U,N,None,N,Y,N,N,N,Y,N,Y
GBR202300000000144,N,U,U,U,U,N,None,Y,Full,N,U,U,N,None,N,Y,U,U,U,Y,N,Y
GBR202300000000180,Y,Y,N,N,Y,N,Minor,Y,Partial,Y,U,Y,N,None,N,N,N,N,N,N,N,Y
GBR201600000000063,Y,N,N,N,N,Y,Full,Y,Full,Y,#D2B48C,N,N,None,N,N,N,N,N,N,N,Y
GBR202300000000063,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,N,N,N,N,Y,Y
GBR202300000000399,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,N,N,N,Y,N,Y
GBR201700000000098,N,U,U,U,N,N,Minor,Y,Partial,N,U,U,Y,Minor,N,N,U,U,U,U,U,Y
GBR202300000000186,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,U,U,U,U,Y,Y
UNKXXXX00000000125,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,Y,N,U,U,U,Y
GBR202300000000057,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,U,U,U,Y,N,Y
GBR201700000000105,Y,Y,N,Y,U,Y,Partial,Y,Partial,Y,#7B6A55,Y,N,None,N,U,U,U,U,U,U,N
UNKXXXX00000000002,Y,N,N,N,Y,Y,Minor,Y,Partial,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR202300000000091,N,U,U,U,N,N,None,Y,Minor,N,U,U,N,None,N,Y,U,U,U,Y,N,U
GBR201700000000117,N,U,U,U,N,Y,Minor,U,U,N,U,U,Y,Minor,N,N,N,N,N,N,N,Y
GBR201700000000113,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR202300000000008,N,U,U,U,N,N,Minor,N,None,N,U,U,N,None,N,N,U,Y,U,U,U,Y
GBR201700000000006,Y,Y,N,N,N,N,None,Y,Full,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR202300000000155,N,U,U,U,N,N,None,N,None,N,U,U,Y,Minor,N,U,U,U,U,U,U,Y
UNKXXXX00000000127,Y,Y,Y,N,U,U,None,Y,Partial,Y,U,Y,Y,Minor,N,N,U,U,U,U,U,Y
GBR201700000000039,Y,Y,Y,Y,N,Y,Partial,Y,Full,N,U,U,Y,Partial,N,N,U,U,U,U,U,Y
GBR202300000000197,N,U,U,U,N,N,Minor,N,None,N,U,U,N,None,N,N,U,U,U,U,U,Y
UNKXXXX00000000052,Y,Y,N,N,N,Y,Minor,Y,Full,Y,#A67B5B,Y,N,None,N,N,N,N,N,N,N,N
GBR201700000000032,Y,N,N,N,N,Y,Minor,Y,Partial,Y,#4F4A44,Y,N,None,N,N,N,N,N,N,N,Y
UNKXXXX00000000081,Y,N,N,Y,N,N,None,Y,Partial,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR202300000000209,N,U,U,U,N,Y,Partial,Y,Minor,N,U,U,N,None,N,N,U,U,U,U,U,Y
UNKXXXX00000000038,Y,N,N,N,U,N,None,Y,Full,N,U,U,N,None,N,U,U,U,U,U,U,Y
GBR201700000000063,N,U,U,U,N,Y,Full,Y,Full,N,U,U,N,None,N,N,U,U,U,U,U,N
GBR201600000000027,Y,Y,N,N,N,Y,Minor,N,None,N,U,N,Y,Minor,N,N,N,N,N,N,N,Y
GBR201700000000100,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR201600000000061,Y,N,N,N,U,Y,None,Y,Full,Y,U,Y,N,None,N,N,N,N,N,N,N,Y
UNKXXXX00000000085,Y,Y,Y,Y,N,N,None,Y,Partial,N,U,N,Y,Minor,N,N,N,N,N,N,N,N
GBR201700000000111,N,U,U,U,N,Y,None,N,None,N,U,U,N,None,N,N,U,U,U,U,U,N
GBR202300000000005,N,U,U,U,N,N,None,N,None,N,U,U,Y,Minor,N,N,U,Y,U,U,U,Y
UNKXXXX00000000077,Y,Y,N,Y,N,N,None,Y,Full,N,U,U,N,None,N,N,U,U,U,U,U,N
GBR201700000000053,Y,Y,Y,Y,N,Y,Minor,Y,Partial,N,U,N,Y,Minor,N,N,N,N,N,N,N,N
GBR201700000000110,N,U,U,U,N,Y,Minor,N,None,N,U,U,N,None,N,N,N,N,N,N,N,Y
UNKXXXX00000000128,Y,Y,Y,N,U,U,None,Y,Full,U,U,U,Y,Partial,N,U,U,U,U,U,U,U
GBR201600000000003,Y,Y,N,N,N,N,None,Y,Partial,N,U,U,Y,Minor,N,N,U,U,U,U,U,Y
UNKXXXX00000000036,Y,Y,N,N,N,N,None,Y,Full,N,U,U,N,None,N,N,U,U,U,U,U,N
UNKXXXX00000000112,N,U,U,U,N,N,None,N,None,N,U,U,Y,Partial,N,U,U,U,U,U,U,Y
GBR201700000000015,Y,Y,N,N,Y,Y,Partial,Y,Full,Y,#4b422f,Y,N,None,N,N,N,N,N,N,N,Y
UNKXXXX00000000114,N,U,U,U,N,N,None,N,None,N,U,U,Y,Partial,N,U,U,U,U,U,U,Y
GBR201600000000045,Y,N,N,Y,N,Y,Partial,Y,Full,N,U,N,N,None,N,N,N,N,N,N,N,Y
UNKXXXX00000000056,Y,Y,N,N,N,N,None,Y,Full,Y,#D2B48C,Y,N,None,N,N,N,N,N,N,N,Y
UNKXXXX00000000034,Y,Y,N,N,N,N,None,Y,Full,N,U,N,N,None,N,N,N,N,N,N,N,Y
GBR201600000000049,Y,Y,Y,N,N,Y,Partial,N,None,Y,U,Y,Y,Partial,N,N,N,N,N,N,N,Y
GBR201800000000003,Y,Y,Y,N,U,Y,Minor,U,U,N,U,U,Y,Partial,N,N,U,U,U,U,U,Y
UNKXXXX00000000060,Y,N,N,N,Y,Y,Full,N,U,Y,U,N,N,None,N,N,N,N,N,N,N,N
UNKXXXX00000000123,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,Y,N,N,N,N,Y
GBR202300000000195,N,U,U,U,N,N,None,N,None,N,U,U,Y,Partial,N,U,U,U,U,U,U,Y
UNKXXXX00000000079,Y,Y,N,Y,N,N,Minor,Y,Minor,N,U,U,Y,Minor,N,N,U,U,U,U,U,N
GBR201700000000085,N,U,U,U,N,Y,None,U,U,N,U,U,Y,Minor,N,U,U,U,U,U,U,Y
GBR201600000000012,Y,Y,N,N,U,U,None,Y,Full,Y,#A0522D,Y,N,None,N,N,N,N,N,N,N,N
GBR202300000000053,N,U,U,U,U,N,None,N,None,Y,#C2B280,N,N,None,N,N,U,U,U,U,U,Y
GBR201600000000064,Y,N,N,N,N,Y,Full,Y,Full,N,U,N,N,None,N,N,N,N,N,N,N,Y
UNKXXXX00000000118,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,Y,N,N,N,N,N
UNKXXXX00000000039,Y,Y,N,Y,N,Y,None,Y,Full,N,U,U,N,None,N,N,U,U,U,U,U,N
GBR201700000000003,Y,N,N,N,N,N,None,Y,Full,N,U,N,N,None,N,N,N,N,N,N,N,N
UNKXXXX00000000043,Y,N,N,N,N,Y,Minor,Y,Partial,N,U,N,Y,Minor,N,N,N,N,N,N,N,Y
GBR201600000000035,Y,Y,N,N,N,N,Minor,N,None,N,U,N,N,None,N,N,N,N,N,N,N,Y
GBR202300000000042,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,N,N,N,Y,N,Y
GBR201600000000022,Y,N,N,N,Y,Y,Minor,Y,Full,N,U,N,N,None,N,N,N,N,N,N,N,Y
GBR201700000000031,Y,Y,N,N,N,N,None,Y,Full,Y,#726A5D,Y,N,None,N,N,N,N,N,N,N,Y
UNKXXXX00000000053,Y,Y,N,N,N,Y,Minor,Y,Full,Y,#B5A76C,U,N,None,N,N,U,U,U,U,U,Y
GBR201600000000004,Y,Y,N,Y,U,Y,Minor,Y,Partial,N,U,N,Y,Minor,N,N,N,N,N,N,N,N
GBR202300000000090,N,U,U,U,N,N,None,N,None,N,U,U,Y,Minor,N,N,U,U,U,U,U,Y
UNKXXXX00000000106,N,U,U,U,N,N,None,N,None,N,U,U,Y,Partial,N,U,U,U,U,U,U,Y
GBR201700000000025,Y,N,N,N,U,N,None,Y,Full,N,U,N,Y,Partial,N,N,U,U,U,U,U,Y
GBR201600000000002,Y,Y,N,N,Y,Y,Minor,Y,Minor,N,U,N,N,None,N,N,N,N,N,N,N,Y
GBR201700000000033,Y,Y,N,N,N,Y,Minor,Y,Partial,Y,#FFFF66,Y,N,None,N,N,N,N,N,N,N,Y
GBR202300000000542,N,U,U,U,N,N,None,N,None,Y,#D2B48C,N,Y,Partial,N,N,U,U,U,U,U,Y
GBR202300000000046,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,N,N,N,Y,N,Y
UNKXXXX00000000047,Y,Y,N,Y,N,N,None,Y,Partial,Y,#8B6B4A,Y,N,None,N,N,N,N,N,N,N,Y
UNKXXXX00000000044,N,U,U,U,N,N,Minor,Y,Minor,N,U,U,Y,Minor,N,N,U,U,U,U,U,Y
GBR201700000000038,Y,Y,Y,Y,Y,U,Minor,Y,Partial,Y,#8B6914,Y,Y,Partial,N,N,N,N,N,N,N,Y
GBR201700000000024,Y,Y,Y,N,N,Y,Minor,Y,Partial,N,U,U,Y,Minor,N,N,U,U,U,U,U,Y
GBR201700000000097,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,N,U,U,U,U,U,Y
GBR201600000000039,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,N,N,N,N,Y,Y
GBR202300000000072,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,U,U,U,N,Y,Y
GBR202300000000333,N,U,U,U,N,N,None,N,None,N,U,U,N,None,N,Y,U,U,U,Y,N,Y
